id,application,apartment_uuid,priority_number
214,86,745,1
215,87,746,1
216,88,745,1
217,89,746,1
218,90,746,1
219,91,746,1
220,92,746,1
221,93,745,1
222,94,745,1
225,96,754,1
226,97,745,1
227,98,762,1
228,99,767,1
229,100,757,1
230,101,756,1
231,102,752,1
232,103,754,1
233,104,759,1
234,105,759,1
235,106,756,1
236,107,761,1
237,108,758,1
238,109,756,1
239,110,764,1
240,111,762,1
241,112,752,1
242,113,760,1
243,114,757,1
244,115,767,1
245,116,756,1
246,117,754,1
247,118,759,1
248,119,762,1
249,120,768,1
250,121,761,1
251,122,759,1
252,123,762,1
253,124,745,1
254,125,763,1
255,126,753,1
256,127,759,1
257,128,766,1
258,129,765,1
259,130,746,1
260,131,755,1
261,132,764,1
262,133,763,1
263,134,768,1
264,135,757,1
265,136,758,1
266,137,766,1
267,138,767,1
268,139,755,1
269,140,747,1
270,141,748,1
271,142,765,1
272,143,765,1
273,144,768,1
274,145,753,1
275,146,753,1
276,147,753,1
277,148,746,1
278,149,763,1
279,150,751,1
280,151,751,1
281,152,764,1
282,153,767,1
283,154,766,1
284,155,747,1
285,156,765,1
286,157,747,1
287,158,749,1
288,159,760,1
289,160,751,1
290,161,750,1
291,162,747,1
292,163,748,1
293,164,766,1
294,165,749,1
295,166,767,1
296,167,761,1
297,168,753,1
298,169,753,1
299,170,750,1
300,171,755,1
301,172,748,1
302,173,750,1
303,174,749,1
304,175,767,1
305,176,760,1
306,177,760,1
307,178,758,1
308,179,758,1
309,180,752,1
310,181,767,1
1000172,1000045,284,1
1000173,1000045,285,2
1000174,1000045,290,3
1000175,1000045,293,4
1000176,1000045,298,5
1000177,1000045,299,6
1000178,1000045,302,7
1000179,1000045,303,8
1000180,1000046,284,1
1000181,1000046,285,2
1000182,1000046,287,3
1000183,1000047,287,1
1000184,1000047,295,2
1000185,1000047,285,3
1000186,1000048,297,1
1000187,1000048,296,2
1000188,1000048,286,3
1000189,1000048,289,4
1000190,1000048,292,5
1000191,1000049,299,1
1000192,1000049,287,2
1000193,1000049,302,3
1000194,1000050,291,1
1000195,1000050,300,2
1000196,1000050,288,3
1000197,1000051,305,1
1000198,1000051,289,2
1000199,1000051,292,3
1000200,1000051,297,4
1000201,1000052,287,1
1000202,1000052,290,2
1000203,1000052,293,3
1000204,1000052,298,4
1000205,1000053,291,1
1000206,1000053,294,2
1000207,1000054,289,1
1000208,1000054,297,2
1000209,1000054,292,3
1000210,1000054,301,4
1000211,1000055,287,1
1000212,1000055,293,2
1000213,1000055,295,3
1000214,1000056,291,1
1000215,1000056,294,2
1000216,1000056,288,3
1000217,1000057,302,1
1000218,1000057,295,2
1000219,1000057,293,3
1000220,1000058,304,1
1000221,1000058,300,2
1000222,1000058,296,3
1000223,1000059,284,1
1000224,1000059,285,2
1000225,1000059,298,3
1000226,1000059,302,4
1000227,1000060,299,1
1000228,1000060,298,2
1000229,1000060,303,3
1000230,1000061,306,1
1000231,1000061,304,2
1000232,1000061,300,3
1000233,1000062,301,1
1000234,1000062,305,2
1000235,1000062,300,3
1000236,1000063,284,1
1000237,1000063,302,2
1000238,1000063,303,3
1000239,1000064,303,1
1000240,1000065,296,1
1000241,1000065,304,2
1000242,1000066,306,1