id;apartment_reservation;comment;concluded_at;state
214;214;;5.4.2022;REJECTED
216;216;;6.4.2022;REJECTED
222;222;;7.4.2022;ACCEPTED
253;253;;;
226;226;;;
221;221;;;
217;217;;6.4.2022;REJECTED
220;220;;6.4.2022;ACCEPTED
218;218;;;
215;215;;;
259;259;;;
219;219;;;
277;277;;;
286;286;;5.4.2022;ACCEPTED
291;291;;;
269;269;;;
284;284;;;
292;292;;5.4.2022;REJECTED
301;301;;6.4.2022;REJECTED
270;270;;7.4.2022;ACCEPTED
294;294;;5.4.2022;ACCEPTED
287;287;;;
303;303;;;
302;302;;5.4.2022;REJECTED
299;299;;6.4.2022;ACCEPTED
290;290;;;
279;279;;5.4.2022;REJECTED
280;280;;6.4.2022;REJECTED
289;289;;7.4.2022;ACCEPTED
231;231;;5.4.2022;REJECTED
309;309;;6.4.2022;ACCEPTED
241;241;;;
297;297;;5.4.2022;REJECTED
276;276;;6.4.2022;REJECTED
274;274;;7.4.2022;REJECTED
298;298;;8.4.2022;ACCEPTED
275;275;;;
255;255;;;
225;225;;5.4.2022;ACCEPTED
246;246;;;
232;232;;;
260;260;;5.4.2022;REJECTED
268;268;;6.4.2022;ACCEPTED
300;300;;;
235;235;;5.4.2022;ACCEPTED
245;245;;;
238;238;;;
230;230;;;
243;243;;5.4.2022;ACCEPTED
229;229;;;
264;264;;;
265;265;;5.4.2022;REJECTED
308;308;;6.4.2022;ACCEPTED
237;237;;;
307;307;;;
251;251;;5.4.2022;ACCEPTED
256;256;;;
247;247;;;
233;233;;;
234;234;;;
305;305;;5.4.2022;REJECTED
288;288;;6.4.2022;REJECTED
306;306;;7.4.2022;REJECTED
242;242;;8.4.2022;ACCEPTED
296;296;;5.4.2022;ACCEPTED
250;250;;;
236;236;;;
248;248;;5.4.2022;REJECTED
240;240;;6.4.2022;REJECTED
227;227;;7.4.2022;ACCEPTED
252;252;;;
278;278;;5.4.2022;REJECTED
254;254;;6.4.2022;REJECTED
262;262;;7.4.2022;REJECTED
281;281;;5.4.2022;REJECTED
239;239;;6.4.2022;ACCEPTED
261;261;;;
285;285;;5.4.2022;REJECTED
271;271;;6.4.2022;ACCEPTED
258;258;;;
272;272;;;
257;257;;5.4.2022;ACCEPTED
266;266;;;
283;283;;;
293;293;;;
295;295;;5.4.2022;REJECTED
244;244;;6.4.2022;REJECTED
228;228;;7.4.2022;REJECTED
304;304;;8.4.2022;REJECTED
267;267;;9.4.2022;ACCEPTED
282;282;;;
310;310;;;
273;273;;5.3.2022;ACCEPTED
263;263;;;
249;249;;;