id;primary_profile;secondary_profile;additional_information;has_children;has_hitas_ownership;is_age_over_55;is_right_of_occupancy_housing_changer;last_contact_date;right_of_residence
9;9;;Helsingin kaupungin palveluksessa;no;no;no;no;;
11;11;1000011;;yes;no;no;no;;26780
15;15;1000015;;yes;no;no;no;4.10.2010;32547
17;17;1000017;;yes;no;no;no;;
27;27;1000027;;yes;no;no;no;8.2.2002;40001
29;29;1000029;;no;no;no;no;8.2.2002;40003
33;33;1000033;;no;no;no;no;9.2.2002;40000
36;36;1000036;;yes;no;no;no;10.2.2002;40010
46;46;1000046;;yes;no;no;no;10.2.2002;40020
47;47;1000047;;yes;no;no;no;5.4.2022;40021
60;60;;;no;no;no;no;5.4.2022;
62;62;1000062;;no;no;no;no;5.4.2022;
64;64;1000064;;yes;no;no;yes;5.4.2022;999999
69;69;;;no;no;no;no;21.2.2012;
70;70;;;no;no;no;no;21.2.2012;
71;71;1000071;;yes;no;no;no;9.2.2016;
72;72;;;no;no;no;no;5.4.2022;
79;79;;;yes;no;no;no;9.2.2016;
89;89;;;no;no;no;no;8.12.2014;87775
105;105;1000105;;no;no;no;no;8.12.2014;8123
106;106;;;no;no;yes;no;5.4.2022;1995993
107;107;;;no;no;no;no;;
108;108;;;no;no;no;no;;
110;110;1000110;;yes;no;no;no;;
112;112;;;no;no;no;no;;
113;113;;;no;no;no;no;;
115;115;;;no;no;no;no;;
116;116;;;no;no;no;no;;
117;117;1000117;;yes;no;no;no;;
119;119;;;no;no;no;no;;
120;120;1000120;;yes;no;no;no;;
121;121;;;no;no;yes;no;5.4.2022;986657
122;122;;;no;no;no;no;;
123;123;;;no;no;yes;no;5.4.2022;584562
124;124;;;no;no;yes;no;5.4.2022;1674223
126;126;;;no;no;no;no;;
127;127;;;no;no;yes;yes;5.4.2022;215632
128;128;1000128;;yes;no;no;no;;
129;129;1000129;;yes;no;yes;no;5.4.2022;1996552
130;130;;;no;no;no;no;;
131;131;1000131;;no;no;yes;no;5.4.2022;1780052
132;132;1000132;;yes;no;no;no;;
133;133;;;no;no;no;no;;
134;134;;;no;no;no;no;;
135;135;1000135;;yes;no;no;no;;
136;136;;;no;no;no;no;;
137;137;1000137;;no;no;no;no;;
138;138;1000138;;yes;no;yes;yes;5.4.2022;1201556
139;139;1000139;;yes;no;no;no;;
140;140;1000140;;yes;no;no;no;;
142;142;;;yes;no;no;no;;
144;144;1000144;;yes;no;no;no;;
147;147;1000147;;yes;no;no;no;;
150;150;;;no;no;no;no;;
151;151;1000151;;yes;no;no;no;;
152;152;;;no;no;no;no;;
153;153;1000153;;yes;no;no;no;;
154;154;1000154;;yes;no;no;no;;
155;155;;;yes;no;no;no;;
156;156;1000156;;yes;no;no;no;;
157;157;1000157;;yes;no;yes;no;5.4.2022;1288954
158;158;;;no;no;no;no;;
159;159;;;no;no;no;no;;
161;161;;;no;no;no;no;;
162;162;1000162;;yes;no;yes;no;5.4.2022;855697
164;164;;;no;no;no;no;;
166;166;1000166;;yes;no;no;no;;
167;167;1000167;;yes;no;yes;no;5.4.2022;1354889
169;169;1000169;;yes;no;yes;no;5.4.2022;1889956
170;170;1000170;;no;no;yes;no;5.4.2022;210275
171;171;;;no;no;no;no;;
172;172;1000172;;no;no;no;no;;
174;174;1000174;;no;no;yes;no;5.4.2022;2137785
175;175;1000175;;yes;no;no;no;;
177;177;;;no;no;yes;no;5.4.2022;2259984
178;178;1000178;;yes;no;no;no;;
179;179;;;no;no;no;no;;
180;180;1000180;;yes;no;no;no;;
181;181;1000181;;yes;no;no;no;;
183;183;;;no;no;yes;no;5.4.2022;2133214
184;184;;;no;no;no;no;;
186;186;1000186;;no;no;no;no;;
187;187;1000187;;yes;no;no;no;;
189;189;;;no;no;no;no;;
192;192;;;no;no;no;no;;
193;193;1000193;;yes;no;no;no;;
194;194;1000194;;yes;no;no;no;;
195;195;1000195;;yes;no;no;yes;5.4.2022;1633214
197;197;1000197;;yes;no;yes;no;5.4.2022;1488956
198;198;1000198;;no;no;no;no;;
199;199;1000199;;yes;no;yes;no;5.4.2022;1256984
200;200;1000200;;yes;yes;no;no;;
201;201;;;no;no;yes;no;5.4.2022;2075692
203;203;;;no;no;yes;no;5.4.2022;1985563
204;204;1000204;;yes;no;no;no;;